longitude,latitude,room_type
103.64656,1.3190899999999999,Entire home/apt
103.77181,1.34775,Private room
103.86613,1.2961,Private room
103.82225,1.25284,Entire home/apt
103.82551,1.25054,Entire home/apt
103.84135,1.28348,Private room
103.72569,1.33633,Private room
103.76084,1.35647,Entire home/apt
103.85991999999999,1.3000399999999999,Private room
103.92175999999999,1.3094700000000001,Entire home/apt
103.93500999999999,1.32184,Private room
103.85394000000001,1.31313,Entire home/apt
103.84897,1.33342,Private room
103.85177,1.2994299999999999,Entire home/apt
103.85616999999999,1.31202,Private room
103.77967,1.3375700000000001,Entire home/apt
103.91450999999999,1.3076299999999998,Private room
103.82509,1.24918,Entire home/apt
103.85523,1.31196,Entire home/apt
103.82253,1.30292,Entire home/apt
103.84111999999999,1.28551,Shared room
103.8895,1.37877,Entire home/apt
103.84859,1.3140399999999999,Entire home/apt
103.81075,1.2751299999999999,Private room
103.82481999999999,1.25088,Entire home/apt
103.84075,1.31564,Private room
103.85491999999999,1.30824,Entire home/apt
103.84678000000001,1.28925,Entire home/apt
103.85336,1.31164,Entire home/apt
103.85361999999999,1.3118,Entire home/apt
103.85256,1.2947899999999999,Entire home/apt
103.86126,1.30332,Entire home/apt
103.821,1.2560200000000001,Private room
103.83145999999999,1.36412,Private room
103.88099,1.3138,Private room
103.80889,1.28149,Private room
103.82529,1.2504600000000001,Entire home/apt
103.82539,1.2504,Entire home/apt
103.84063,1.24627,Entire home/apt
103.87686,1.3110700000000002,Entire home/apt
103.7527,1.39245,Private room
103.85356999999999,1.31209,Entire home/apt
103.83296999999999,1.36486,Shared room
103.86099,1.29891,Entire home/apt
103.8163,1.2873299999999999,Private room
103.94201,1.32995,Private room
103.86001999999999,1.31585,Entire home/apt
103.75869,1.31244,Shared room
103.82947,1.28338,Private room
103.81506999999999,1.2666600000000001,Private room
103.87456999999999,1.31267,Entire home/apt
103.84087,1.27641,Private room
103.75945,1.35835,Entire home/apt
103.83225999999999,1.30344,Entire home/apt
103.8359,1.30534,Private room
103.83163,1.30233,Entire home/apt
103.87675,1.3141,Private room
103.83847,1.3089600000000001,Entire home/apt
103.83883,1.30856,Entire home/apt
103.84246,1.24387,Entire home/apt
103.87671999999999,1.3122,Entire home/apt
103.85799,1.31571,Entire home/apt
103.84141,1.29033,Entire home/apt
103.81035,1.26685,Entire home/apt
103.86074,1.31187,Entire home/apt
103.83713,1.3007799999999998,Private room
103.85566,1.3091,Entire home/apt
103.69285,1.34425,Private room
103.83115,1.31069,Entire home/apt
103.89024,1.37762,Private room
103.84416999999999,1.27525,Private room
103.8808,1.3953799999999998,Private room
103.84532,1.28328,Private room
103.83364,1.30122,Entire home/apt
103.83364,1.30406,Entire home/apt
103.84799,1.29845,Entire home/apt
103.85479000000001,1.31198,Entire home/apt
103.83738000000001,1.3035299999999999,Entire home/apt
103.82502,1.24853,Entire home/apt
103.83738000000001,1.3036299999999998,Entire home/apt
103.82411,1.27112,Entire home/apt
103.78696,1.28207,Entire home/apt
103.85996,1.3110600000000001,Entire home/apt
103.89238,1.36315,Private room
103.83306999999999,1.3057,Entire home/apt
103.91348,1.3187799999999998,Private room
103.83308000000001,1.30345,Entire home/apt
103.69894000000001,1.35229,Entire home/apt
103.838,1.30325,Entire home/apt
103.83742,1.30374,Entire home/apt
