longitude,latitude,neighbourhood_group
103.64656,1.3190899999999999,West Region
103.77181,1.34775,West Region
103.86613,1.2961,Central Region
103.82225,1.25284,Central Region
103.82551,1.25054,Central Region
103.84135,1.28348,Central Region
103.72569,1.33633,West Region
103.76084,1.35647,West Region
103.85991999999999,1.3000399999999999,Central Region
103.92175999999999,1.3094700000000001,East Region
103.93500999999999,1.32184,East Region
103.85394000000001,1.31313,Central Region
103.84897,1.33342,Central Region
103.85177,1.2994299999999999,Central Region
103.85616999999999,1.31202,Central Region
103.77967,1.3375700000000001,Central Region
103.91450999999999,1.3076299999999998,East Region
103.82509,1.24918,Central Region
103.85523,1.31196,Central Region
103.82253,1.30292,Central Region
103.84111999999999,1.28551,Central Region
103.8895,1.37877,North-East Region
103.84859,1.3140399999999999,Central Region
103.81075,1.2751299999999999,Central Region
103.82481999999999,1.25088,Central Region
103.84075,1.31564,Central Region
103.85491999999999,1.30824,Central Region
103.84678000000001,1.28925,Central Region
103.85336,1.31164,Central Region
103.85361999999999,1.3118,Central Region
103.85256,1.2947899999999999,Central Region
103.86126,1.30332,Central Region
103.821,1.2560200000000001,Central Region
103.83145999999999,1.36412,Central Region
103.88099,1.3138,Central Region
103.80889,1.28149,Central Region
103.82529,1.2504600000000001,Central Region
103.82539,1.2504,Central Region
103.84063,1.24627,Central Region
103.87686,1.3110700000000002,Central Region
103.7527,1.39245,West Region
103.85356999999999,1.31209,Central Region
103.83296999999999,1.36486,Central Region
103.86099,1.29891,Central Region
103.8163,1.2873299999999999,Central Region
103.94201,1.32995,East Region
103.86001999999999,1.31585,Central Region
103.75869,1.31244,West Region
103.82947,1.28338,Central Region
103.81506999999999,1.2666600000000001,Central Region
103.87456999999999,1.31267,Central Region
103.84087,1.27641,Central Region
103.75945,1.35835,West Region
103.83225999999999,1.30344,Central Region
103.8359,1.30534,Central Region
103.83163,1.30233,Central Region
103.87675,1.3141,Central Region
103.83847,1.3089600000000001,Central Region
103.83883,1.30856,Central Region
103.84246,1.24387,Central Region
103.87671999999999,1.3122,Central Region
103.85799,1.31571,Central Region
103.84141,1.29033,Central Region
103.81035,1.26685,Central Region
103.86074,1.31187,Central Region
103.83713,1.3007799999999998,Central Region
103.85566,1.3091,Central Region
103.69285,1.34425,West Region
103.83115,1.31069,Central Region
103.89024,1.37762,North-East Region
103.84416999999999,1.27525,Central Region
103.8808,1.3953799999999998,North-East Region
103.84532,1.28328,Central Region
103.83364,1.30122,Central Region
103.83364,1.30406,Central Region
103.84799,1.29845,Central Region
103.85479000000001,1.31198,Central Region
103.83738000000001,1.3035299999999999,Central Region
103.82502,1.24853,Central Region
103.83738000000001,1.3036299999999998,Central Region
103.82411,1.27112,Central Region
103.78696,1.28207,Central Region
103.85996,1.3110600000000001,Central Region
103.89238,1.36315,North-East Region
103.83306999999999,1.3057,Central Region
103.91348,1.3187799999999998,East Region
103.83308000000001,1.30345,Central Region
103.69894000000001,1.35229,West Region
103.838,1.30325,Central Region
103.83742,1.30374,Central Region
103.83613000000001,1.3034,Central Region
103.87689,1.3104200000000001,Central Region
103.84076999999999,1.2990700000000002,Central Region
103.84314,1.29879,Central Region
103.84217,1.29309,Central Region
103.82826999999999,1.29285,Central Region
103.84043,1.29175,Central Region
103.82608,1.29423,Central Region
103.90701,1.31491,East Region
103.86202,1.3105200000000001,Central Region
103.9026,1.31289,Central Region
103.82389,1.24847,Central Region
103.85499,1.30736,Central Region
103.86121,1.31237,Central Region
103.83294000000001,1.3039399999999999,Central Region
103.83398000000001,1.43688,North Region
103.90218,1.31415,Central Region
103.90316999999999,1.3141,Central Region
103.83336,1.30568,Central Region
103.88084,1.31149,Central Region
103.8475,1.3019399999999999,Central Region
103.698,1.35237,West Region
103.87626999999999,1.30985,Central Region
103.87814,1.31054,Central Region
103.84276,1.29247,Central Region
103.84091,1.3134700000000001,Central Region
103.94086999999999,1.31182,East Region
103.90378,1.30531,Central Region
103.84384,1.2752299999999999,Central Region
103.8411,1.2927600000000001,Central Region
103.84376,1.28857,Central Region
103.83515,1.29818,Central Region
103.83639000000001,1.29716,Central Region
103.83583,1.29884,Central Region
103.83663,1.2967,Central Region
103.86086,1.2998399999999999,Central Region
103.84289,1.29236,Central Region
103.85056999999999,1.30298,Central Region
